"Photo","Picture","MLS Number","Class","Building Type","Area","Price","Address","City","State","Status","Radar ID","Zoning","Days On Market"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40709747/0/60/45/f73d57668739499b0340085595349b6e/2/49f44e45c430e049d8d9d89aa236ad64/MAXEBRDI40709747.JPG","16","40709747","RESIDENTIAL INCOME","DUPLEX","Hayward","$550,000","24073 Dotson Court","HAYWARD","CA","Pending",,"1001","22"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40708347/0/60/45/f2d688209281c1578ac4ef68ccddc3a5/8/5b95bcaeaf617772dc78bb70aafe2b92/MAXEBRDI40708347.JPG","25","40708347","RESIDENTIAL","Detached","Livermore","$550,000","1606 HOLLYHOCK ST","LIVERMORE","CA","Sold",,"1009","6"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702059/0/60/45/6678d69e4842acdcbe3c7fc1bc1af09c/2/84e879f42adec25fdd3dce780d4ca741/MAXEBRDI40702059.JPG","22","40702059","RESIDENTIAL","Townhouse","Pleasanton","$551,000","3719 BROCKTON DR","PLEASANTON","CA","Pending Show for Backups",,,"74"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40697995/0/60/45/86e5da68a399da5968208ef45790e782/2/420f56cc83837a996e733b421ef9f7f0/MAXEBRDI40697995.JPG","3","40697995","RESIDENTIAL","Detached","Livermore","$559,999","1081 VENTURA AVE","LIVERMORE","CA","Cancelled",,"1001","107"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40710182/0/60/45/58e870c0670ae581ca90f2a2d7018538/4/d4de98df9bbb0a550b21f43120623513/MAXEBRDI40710182.JPG","1","40710182","RESIDENTIAL","Condo","San Ramon","$561,159","4732 Norris Canyon Road","SAN RAMON","CA","Price Change",,"res","19"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40688741/0/60/45/234588cd3c288363ee94df21c0c5858e/6/2c4bdb485c40f19cc6ca965642e7608c/MAXEBRDI40688741.JPG","30","40688741","RESIDENTIAL","Detached","Antioch","$569,900","5485 SOUTHWOOD COURT","ANTIOCH","CA","Cancelled",,"1001","30"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40705828/0/60/45/49e8f0f237e1ba0a5446792673a78445/2/1997abb8407d6602121e54d6ec67c70c/MAXEBRDI40705828.JPG","18","40705828","RESIDENTIAL","Detached","Hayward","$570,000","25930 MADELINE LN","HAYWARD","CA","Sold",,"1001","16"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40709970/0/60/45/89372e42b7dd5478e7893cc78d325ab5/11/f3ffbbb734989bcf50c13629c9f44de5/MAXEBRDI40709970.JPG","11","40709970","RESIDENTIAL","Detached","Hercules - 1301","$575,000","327 SHIPWATCH LN","HERCULES","CA","Pending Show for Backups",,"1003","12"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40701159/0/60/45/8dd471adcd17d2acdb31591971e4fcae/2/f58634681d80c2531eac0ab329f2a60d/MAXEBRDI40701159.JPG","5","40701159","RESIDENTIAL","Detached","Oakland Zip Code 94603","$575,000","669 CATRON DRIVE","OAKLAND","CA","Expired",,,"85"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702050/0/60/45/5cd8d5909992fd568772d6f56aea43d3/2/2996a55617c6367de55a6e8ad68de81c/MAXEBRDI40702050.JPG","7","40702050","RESIDENTIAL INCOME","OTHER","Oakland Zip Code 94603","$575,000","669 CATRON DRIVE","OAKLAND","CA","Expired",,,"80"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40703212/0/60/45/de4e3003ddee8958f52d359cdd67f1aa/8/ef21f44e39af6ca05d0c879d0b9ee620/MAXEBRDI40703212.JPG","30","40703212","RESIDENTIAL","Detached","Concord","$577,000","5236 LA CORTE BONITA","CONCORD","CA","Sold",,"1001","42"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40710853/0/60/45/22f225799118558cdf0c952febafde06/2/c42c9a25eaedf1bd08155637d0cbfed9/MAXEBRDI40710853.JPG","12","40710853","RESIDENTIAL","Condo","Fremont","$580,000","34641 Musk Terrace","FREMONT","CA","Pending Subj LenderApprov",,,"14"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712732/0/60/45/d35b92c808e7e39d2b6f7b368e7e888d/2/a43d1726842b04c881d85f74f2cf9c05/MAXEBRDI40712732.JPG","4","40712732","RESIDENTIAL","Detached","Hayward","$580,000","239 BLOSSOM WAY","HAYWARD","CA","New-REO",,"1001","1"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40710386/0/60/45/f407a8b48b31ef5f00ca98e19febbbc6/8/1fa562a4e54b771d458b637b2c2f9442/MAXEBRDI40710386.JPG","16","40710386","RESIDENTIAL","Detached","Hercules - 1302","$585,000","3144 N FRONT","HERCULES","CA","Pending",,,"14"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40709692/0/60/45/fdd6f4e71cf7acf093a8731a2a00910a/8/f46daf235bc99016915819e4c351422f/MAXEBRDI40709692.JPG","30","40709692","RESIDENTIAL","Detached","Pleasant Hill","$589,000","684 GOLF CLUB WAY","PLEASANT HILL","CA","Active",,"1001","23"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712723/0/60/45/f09615c1d9b4ea89d8dfc074e500fc26/8/7173f8f1c8afdd8d1a2004a6a7e9f824/MAXEBRDI40712723.JPG","16","40712723","RESIDENTIAL","Detached","Castro Valley","$589,950","19186 SAN MIGUEL AVE","CASTRO VALLEY","CA","New",,"1001","0"
"http://cdnparap30.paragonrels.com/ParagonImages/Static/60/45/739e64b314b28e70738977c8162c55db/NoPhotoAvailable.jpg","0","40712739","RESIDENTIAL","Detached","Livermore","$590,000","6153 Saint Andrews Way","LIVERMORE","CA","New",,,"0"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40706610/0/60/45/6180eeec9ad6934368d571fae581683b/8/4ff63377fd123890738d1f7d330acce7/MAXEBRDI40706610.JPG","21","40706610","RESIDENTIAL","Detached","Pleasant Hill","$590,000","178 Doray Drive","PLEASANT HILL","CA","Sold",,,"6"
